Ref_C.csv,.csv,MARQNET\6989thompsz (Thompson, Zach),12/3/2021 9:04:02 AM,SPECTRONIC 200,- - -,- - -
nm,A
595,0.748605
595.5,0.75721
596,0.765989
596.5,0.774691
597,0.783834
597.5,0.793444
598,0.802995
598.5,0.812197
599,0.821311
599.5,0.831503
600,0.841939
600.5,0.853252
601,0.864231
601.5,0.88773
602,0.900319
602.5,0.912929
603,0.925549
603.5,0.937418
604,0.950394
604.5,0.96457
605,0.979225
605.5,0.994819
606,1.009661
606.5,1.025949
607,1.041436
607.5,1.057
608,1.073658
608.5,1.106238
609,1.122053
609.5,1.139063
610,1.156145
610.5,1.175224
611,1.192465
611.5,1.211832
612,1.232102
612.5,1.252588
613,1.271646
613.5,1.288193
614,1.307153
614.5,1.326058
615,1.345823
615.5,1.383
616,1.403403
616.5,1.424812
617,1.444906
617.5,1.465974
618,1.488117
618.5,1.510042
619,1.531653
619.5,1.546682
620,1.563837
620.5,1.580044
621,1.598599
621.5,1.619789
622,1.636388
622.5,1.673664
623,1.692504
623.5,1.707744
624,1.721246
624.5,1.735182
625,1.74958
625.5,1.764472
626,1.779892
626.5,1.790485
627,1.801343
627.5,1.809668
628,1.818156
628.5,1.821023
629,1.826814
629.5,1.829738
630,1.826814
630.5,1.823909
631,1.829738
631.5,1.829738
632,1.821023
632.5,1.806875
633,1.798603
633.5,1.787812
634,1.772113
634.5,1.756962
635,1.742321
635.5,1.732828
636,1.716699
636.5,1.67162
637,1.645892
637.5,1.621602
638,1.600326
638.5,1.573489
639,1.546682
639.5,1.518557
640,1.493495
640.5,1.465974
641,1.436519
641.5,1.405607
642,1.374688
642.5,1.343902
643,1.313364
643.5,1.284833
644,1.224754
644.5,1.195179
645,1.167491
645.5,1.136677
646,1.106793
646.5,1.075721
647,1.045757
647.5,1.016825
648,0.989276
648.5,0.96138
649,0.933674
649.5,0.905878
650,0.878769
650.5,0.852015
651,0.799423
651.5,0.775208
652,0.751536
652.5,0.728856
653,0.705975
653.5,0.684449
654,0.66354
654.5,0.642637
655,0.621966
655.5,0.601886
656,0.582362
656.5,0.563043
657,0.544394
657.5,0.526075
658,0.491874
658.5,0.475085
659,0.45892
659.5,0.443697
660,0.429107
660.5,0.415443
661,0.400991
661.5,0.387004
662,0.373557
662.5,0.361112
663,0.348819
663.5,0.337053
664,0.325414
664.5,0.314079
665,0.292515
665.5,0.282496
666,0.271971
666.5,0.262489
667,0.25321
667.5,0.244964
668,0.236048
668.5,0.227458
669,0.219035
669.5,0.210701
670,0.203356
670.5,0.196065
671,0.189431
671.5,0.182369
672,0.168578
672.5,0.162601
673,0.157516
673.5,0.152119
674,0.146606
674.5,0.141523
675,0.137034
675.5,0.132415
676,0.127145
676.5,0.122168
677,0.117931
677.5,0.114413
678,0.11081
678.5,0.106738
679,0.098705
679.5,0.095122
680,0.091193
