Ref_B.csv,.csv,MARQNET\6989thompsz (Thompson, Zach),12/3/2021 9:04:02 AM,SPECTRONIC 200,- - -,- - -
nm,A
595,0.534915
595.5,0.541362
596,0.5476
596.5,0.553929
597,0.560509
597.5,0.567191
598,0.574629
598.5,0.581699
599,0.589054
599.5,0.596365
600,0.603626
600.5,0.611899
601,0.620332
601.5,0.637706
602,0.646276
602.5,0.655019
603,0.664542
603.5,0.67469
604,0.68508
604.5,0.695294
605,0.705534
605.5,0.717151
606,0.728623
606.5,0.740645
607,0.752027
607.5,0.763463
608,0.775726
608.5,0.800519
609,0.813326
609.5,0.826231
610,0.839832
610.5,0.852942
611,0.866461
611.5,0.880085
612,0.894831
612.5,0.909037
613,0.923724
613.5,0.937794
614,0.952725
614.5,0.966979
615,0.981716
615.5,1.011887
616,1.026872
616.5,1.041914
617,1.056505
617.5,1.072117
618,1.08831
618.5,1.101824
619,1.116907
619.5,1.131356
620,1.14813
620.5,1.161781
621,1.173277
621.5,1.184422
622,1.197226
622.5,1.224754
623,1.239578
623.5,1.254145
624,1.2652
624.5,1.274088
625,1.283162
625.5,1.29243
626,1.301899
626.5,1.309804
627,1.316953
627.5,1.322393
628,1.326979
628.5,1.330683
629,1.333482
629.5,1.333482
630,1.333482
630.5,1.333482
631,1.333482
631.5,1.330683
632,1.325139
632.5,1.316053
633,1.310691
633.5,1.302771
634,1.293282
634.5,1.281498
635,1.271646
635.5,1.261219
636,1.249492
636.5,1.218245
637,1.20204
637.5,1.185087
638,1.16813
638.5,1.149354
639,1.131356
639.5,1.112383
640,1.093665
640.5,1.074172
641,1.053548
641.5,1.03292
642,1.010105
642.5,0.988007
643,0.966174
643.5,0.945387
644,0.900319
644.5,0.87844
645,0.857298
645.5,0.83654
646,0.815593
646.5,0.793444
647,0.771856
647.5,0.750802
648,0.730721
648.5,0.709965
649,0.689944
649.5,0.669992
650,0.651111
650.5,0.631527
651,0.593801
651.5,0.575608
652,0.558619
652.5,0.541362
653,0.524619
653.5,0.507799
654,0.492009
654.5,0.476644
655,0.461803
655.5,0.447332
656,0.432856
656.5,0.418733
657,0.404614
657.5,0.39126
658,0.365724
658.5,0.353596
659,0.341321
659.5,0.330033
660,0.318849
660.5,0.309184
661,0.298605
661.5,0.28853
662,0.277613
662.5,0.267767
663,0.258376
663.5,0.2498
664,0.241164
664.5,0.232844
665,0.216525
665.5,0.209012
666,0.201142
666.5,0.193888
667,0.186352
667.5,0.179864
668,0.173148
668.5,0.167108
669,0.160962
669.5,0.155274
670,0.14966
670.5,0.14442
671,0.139243
671.5,0.133713
672,0.123147
672.5,0.119186
673,0.115091
673.5,0.110923
674,0.106627
674.5,0.102868
675,0.099633
675.5,0.096584
676,0.093019
676.5,0.089589
677,0.086186
677.5,0.08323
678,0.080242
678.5,0.077015
679,0.071655
679.5,0.069204
680,0.066361
