TS_3.csv,.csv,MARQNET\7802volke (Volk, Emmalee),12/3/2021 9:31:41 AM,SPECTRONIC 200,- - -,- - -
nm,A
595.5,0.68361
596,0.691009
596.5,0.698536
597,0.706416
597.5,0.714893
598,0.723768
598.5,0.732125
599,0.741123
599.5,0.750068
600,0.75995
600.5,0.769807
601,0.789681
601.5,0.799971
602,0.811353
602.5,0.82333
603,0.835647
603.5,0.8471
604,0.85855
604.5,0.870632
605,0.885056
605.5,0.898253
606,0.912219
606.5,0.925184
607,0.940058
607.5,0.954677
608,0.984221
608.5,1
609,1.015473
609.5,1.031517
610,1.046724
610.5,1.062482
611,1.078834
611.5,1.09691
612,1.113509
612.5,1.130182
613,1.14813
613.5,1.166853
614,1.187087
614.5,1.204815
615,1.241088
615.5,1.258848
616,1.275724
616.5,1.291579
617,1.309804
617.5,1.328827
618,1.347754
618.5,1.365523
619,1.38405
619.5,1.402305
620,1.421361
620.5,1.437707
621,1.454693
621.5,1.47237
622,1.50724
622.5,1.521434
623,1.537602
623.5,1.549751
624,1.565431
624.5,1.580044
625,1.59346
625.5,1.60206
626,1.610834
626.5,1.619789
627,1.627088
627.5,1.636388
628,1.638272
628.5,1.651695
629,1.659556
629.5,1.657577
630,1.659556
630.5,1.659556
631,1.659556
631.5,1.653647
632,1.647817
632.5,1.643974
633,1.634512
633.5,1.627088
634,1.61261
634.5,1.60206
635,1.585027
635.5,1.555955
636,1.539102
636.5,1.521434
637,1.501689
637.5,1.481486
638,1.457175
638.5,1.435334
639,1.412289
639.5,1.38934
640,1.364516
640.5,1.340084
641,1.313364
641.5,1.284833
642,1.257275
642.5,1.203426
643,1.176526
643.5,1.149967
644,1.122053
644.5,1.094204
645,1.064997
645.5,1.038105
646,1.01055
646.5,0.98464
647,0.957031
647.5,0.931072
648,0.904482
648.5,0.878769
649,0.827981
649.5,0.8041
650,0.77963
650.5,0.755723
651,0.731656
651.5,0.709298
652,0.688458
652.5,0.66736
653,0.645699
653.5,0.623606
654,0.603278
654.5,0.583526
655,0.564474
655.5,0.545765
656,0.510463
656.5,0.492684
657,0.476124
657.5,0.459796
658,0.444543
658.5,0.429224
659,0.414314
659.5,0.399572
660,0.38563
660.5,0.371918
661,0.359121
661.5,0.346787
662,0.334513
662.5,0.322667
663,0.300856
663.5,0.290815
664,0.280752
664.5,0.271403
665,0.261854
665.5,0.252744
666,0.243668
666.5,0.234853
667,0.225994
667.5,0.217814
668,0.209856
668.5,0.202386
669,0.194975
669.5,0.188157
670,0.174769
670.5,0.168578
671,0.16279
671.5,0.157391
672,0.151872
672.5,0.146241
673,0.140982
673.5,0.136023
674,0.13165
674.5,0.126854
675,0.122283
675.5,0.117248
676,0.113453
676.5,0.105352
677,0.101275
677.5,0.097508
678,0.094204
678.5,0.091408
679,0.088736
679.5,0.08608
680,0.082862
